links,company,price,cpu,ram,graphic_ram,screen_size,hdd,ssd,stock_status
https://www.digikala.com/product/dkp-3370794,hp,27290000,Core i5,8,2000,15.6,0,0,new
https://www.digikala.com/product/dkp-3370857,acer,21000000,Core i5,4,2000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3371169,hp,30890000,Core i7,8,2000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3371196,hp,32440000,Core i7,8,2000,15.6,0,0,new
https://www.digikala.com/product/dkp-3371228,hp,33980000,Core i7,16,2000,15.6,0,0,new
https://www.digikala.com/product/dkp-3371263,hp,35010000,Core i7,16,2000,15.6,0,0,new
https://www.digikala.com/product/dkp-3373052,hp,33980000,Core i7,8,4000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3373074,hp,36560000,Core i7,16,4000,15.6,0,0,new
https://www.digikala.com/product/dkp-3373078,hp,37590000,Core i7,16,4000,15.6,0,0,new
https://www.digikala.com/product/dkp-3373091,asus,52200000,Ryzen 7,16,6000,17.3,0,0,new
https://www.digikala.com/product/dkp-3373238,hp,27900000,Core i7,8,4000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3373528,hp,24710000,Core i5,8,2000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3373826,hp,26260000,Core i5,8,2000,15.6,0,0,new
https://www.digikala.com/product/dkp-3373886,hp,31410000,Core i7,8,2000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3381701,asus,18600000,Core i3,4,2000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3382516,hp,20750000,Core i3,8,2000,15.6,0,0,new
https://www.digikala.com/product/dkp-3384482,asus,61980000,Core i7,16,6000,15.6,0,1000,new
https://www.digikala.com/product/dkp-3384483,hp,52010000,Core i7,16,6000,17.3,0,0,new
https://www.digikala.com/product/dkp-3387265,hp,53040000,Core i7,16,6000,17.3,0,0,new
https://www.digikala.com/product/dkp-3387310,hp,54070000,Core i7,32,6000,17.3,0,0,new
https://www.digikala.com/product/dkp-3387418,hp,55610000,Core i7,32,6000,17.3,0,0,new
https://www.digikala.com/product/dkp-3387540,hp,57670000,Core i7,32,6000,17.3,0,0,new
https://www.digikala.com/product/dkp-3388363,asus,15990000,Core i3,4,0,15.6,1000,0,new
https://www.digikala.com/product/dkp-3388401,lenovo,43499000,Core i7,16,6000,15.6,0,0,new
https://www.digikala.com/product/dkp-3392063,lenovo,25400000,Core i7,8,4000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3392345,asus,26300000,Core i5,8,2000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3393780,asus,40300000,Core i7,8,4000,15.6,0,0,new
https://www.digikala.com/product/dkp-3395686,lenovo,18680000,Core i3,8,0,15.6,1000,0,new
https://www.digikala.com/product/dkp-3401373,acer,50700000,Core i7,16,4000,15.6,0,1000,new
https://www.digikala.com/product/dkp-3405430,lenovo,14900000,Pentium,4,2000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3405844,lenovo,17700000,Core i3,12,2000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3405930,lenovo,17100000,Core i3,12,0,15.6,1000,0,new
https://www.digikala.com/product/dkp-3409565,asus,22420000,Core i5,4,2000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3419432,lenovo,40000000,Core i7,16,4000,15.6,0,0,new
https://www.digikala.com/product/dkp-3422732,asus,17740000,Core i3,4,0,15.6,1000,0,new
https://www.digikala.com/product/dkp-3426635,lenovo,31950000,Core i7,20,4000,15.6,0,0,new
https://www.digikala.com/product/dkp-3426911,asus,55350000,Core i7,16,4000,15.6,0,1000,new
https://www.digikala.com/product/dkp-3430014,asus,23439000,Core i5,8,2000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3430296,asus,36499000,Core i7,16,2000,14,0,500,new
https://www.digikala.com/product/dkp-3430442,asus,24442000,Core i5,8,2000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3433018,asus,12999000,Celeron,4,2000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3433084,asus,24020000,Core i5,8,2000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3433590,lenovo,14100000,Pentium,8,0,15.6,1000,0,new
https://www.digikala.com/product/dkp-3436861,asus,22703020,Core i3,8,2000,15.6,0,0,new
https://www.digikala.com/product/dkp-3443924,dell,45990000,Core i5,8,0,14,1000,0,new
https://www.digikala.com/product/dkp-3445694,lenovo,17630000,Bristol Ridge,8,2000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3455959,asus,30700000,Core i7,8,2000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3472806,lenovo,13090000,Celeron,8,0,15.6,1000,0,new
https://www.digikala.com/product/dkp-3473404,acer,12300000,Pentium,4,0,15.6,1000,0,new
https://www.digikala.com/product/dkp-3474212,lenovo,20999000,Core i3,8,2000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3479631,hp,24010000,Ryzen 7,12,2000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3479867,hp,17000370,Ryzen 3,12,512,15.6,1000,0,new
https://www.digikala.com/product/dkp-3484073,acer,58667700,Core i7,16,6000,15.6,0,512,new
https://www.digikala.com/product/dkp-3491487,asus,75058200,Core i7,32,8000,17.3,0,1000,new
https://www.digikala.com/product/dkp-3491549,asus,65100000,Core i7,16,6000,17.3,0,1000,new
https://www.digikala.com/product/dkp-3496894,lenovo,21000000,Core i5,4,2000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3496968,lenovo,12699000,Pentium,4,0,15.6,1000,0,new
https://www.digikala.com/product/dkp-3497025,lenovo,18699000,Core i3,4,0,15.6,1000,0,new
https://www.digikala.com/product/dkp-3498196,lenovo,27399000,Core i7,8,2000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3500666,lenovo,16900000,Core i3,8,0,15.6,1000,0,new
https://www.digikala.com/product/dkp-3506667,lenovo,30874000,Core i5,8,0,13,0,256,new
https://www.digikala.com/product/dkp-3507562,hp,31900000,Core i5,8,0,14,0,256,new
https://www.digikala.com/product/dkp-3511286,asus,15850000,Pentium,4,0,15.6,0,0,new
https://www.digikala.com/product/dkp-3511615,asus,39950000,Core i7,16,2000,15.6,0,512,new
https://www.digikala.com/product/dkp-3514676,asus,13830000,Pentium,4,0,15.6,1000,0,new
https://www.digikala.com/product/dkp-3514761,asus,38250000,Core i5,8,2000,14,0,512,new
https://www.digikala.com/product/dkp-3514878,asus,44620000,Core i7,16,2000,14,0,1000,new
https://www.digikala.com/product/dkp-3515784,asus,37160000,Core i7,16,2000,15.6,0,512,new
https://www.digikala.com/product/dkp-3516089,lenovo,27999000,Core i5,16,2000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3530752,asus,34500000,Core i5,12,4000,15.6,0,0,new
https://www.digikala.com/product/dkp-3530919,asus,26200000,Core i5,12,2000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3536710,lenovo,16400000,Core i3,4,2000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3538954,acer,49900000,Core i7,16,6000,15.6,0,256,new
https://www.digikala.com/product/dkp-3539243,dell,27490000,Core i3,8,0,14,1000,0,new
https://www.digikala.com/product/dkp-3542996,dell,44490000,Core i5,16,4000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3545013,asus,10250000,Carrizo,4,512,15.6,1000,0,new
https://www.digikala.com/product/dkp-3545629,asus,118340000,Core i7,32,8000,17.3,0,1000,new
https://www.digikala.com/product/dkp-3547949,asus,18850000,Core i3,4,2000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3548530,asus,30600000,Core i7,12,2000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3548664,asus,30900000,Core i7,8,2000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3549343,asus,48650000,Core i7,32,4000,15.6,0,1000,new
https://www.digikala.com/product/dkp-3549594,lenovo,29700000,Core i5,8,0,13.3,0,256,new
https://www.digikala.com/product/dkp-3550205,hp,19099000,Core i5,8,0,15.6,0,256,new
https://www.digikala.com/product/dkp-3550447,hp,18498000,Core i3,8,0,15.6,0,256,new
https://www.digikala.com/product/dkp-3553096,hp,56640000,Core i7,16,0,13.3,0,1000,new
https://www.digikala.com/product/dkp-3553227,hp,72090000,Core i7,16,4000,15.6,0,1000,new
https://www.digikala.com/product/dkp-3554964,hp,38100000,Core i7,8,2000,15.6,0,0,new
https://www.digikala.com/product/dkp-3555351,hp,48920000,Core i7,16,4000,15.6,0,512,new
https://www.digikala.com/product/dkp-3555495,hp,63850000,Core i7,16,6000,15.6,0,512,new
https://www.digikala.com/product/dkp-3555508,asus,19990000,Core i3,8,2000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3555639,hp,77240000,Core i7,16,8000,15.6,0,512,new
https://www.digikala.com/product/dkp-3556057,hp,133740000,Xeon,16,16000,17.3,0,0,new
https://www.digikala.com/product/dkp-3556667,asus,11400000,Celeron,4,0,15.6,1000,0,new
https://www.digikala.com/product/dkp-3556737,hp,71940000,Core i7,16,4000,15.6,0,0,new
https://www.digikala.com/product/dkp-3557900,lenovo,17400000,ATHLON,8,0,15.6,1000,0,new
https://www.digikala.com/product/dkp-3557938,hp,39130000,Core i7,16,2000,15.6,0,0,new
https://www.digikala.com/product/dkp-3557946,asus,20010000,Core i3,8,2000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3557964,hp,40160000,Core i7,16,2000,15.6,0,0,new
https://www.digikala.com/product/dkp-3557999,hp,41190000,Core i7,16,2000,15.6,0,0,new
https://www.digikala.com/product/dkp-3558109,hp,50980000,Core i7,32,4000,15.6,0,512,new
https://www.digikala.com/product/dkp-3558136,lenovo,15000000,Core i3,4,0,15.6,1000,0,new
https://www.digikala.com/product/dkp-3558148,hp,51490000,Core i7,16,4000,15.6,0,1000,new
